1;11-03-2023 12:00;Иванов;09-05-2023;Заплатить коммуналку;1
2;11-03-2023 13:00;Иванович;03-07-2023;Купить подарок;3
3;12-03-2023 14:00;ИванИван;01-01-2023;Встреча с друзьми;3
4;12-03-2023 14:15;Тест;12-03-2023;Убраться дома;1
5;13-03-2023 18:15;Виктор;24-01-2023;Позвонить заказчику;2
6;13-03-2023 18:22;Тест2;15-12-2023;Сходить на каток;1
7;13-03-2023 18:31;Проверка;14-03-2023;Съездить в отпуск;3
8;14-03-2023 19:03;ДР;20-04-2023;Поздравить с др;
9;14-03-2023 15:16;testing;20-02-2023;test padding;3
10;14-03-2023 15:19;Testingtest;20-02-2023;test file;3
11;14-03-2023 15:31;╨Я╨╡╤В╤А╨╛╨▓╨╕╤З;14-03-2023;╨Я╨╛╤А╨░ ╤Б╨┤╨░╨▓╨░╤В╤М ╨╖╨░╨┤╨░╤З╤Г;3
12;14-03-2023 15:37;РўРµСЃС‚РёРј;14-03-2023;С‚РµСЃС‚РёРј РєРѕРґРёСЂРѕРІРєСѓ;2
13;14-03-2023 15:38;тестим;14-03-2023;тестим кодировку;3
